epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0272,0.54973,2.63724,0.94169,0.02391,0.8595,0.49744,0.44379,0.39735,2.72325,0.82038,0.00012,0.00012,0.00012
2,52.2507,0.46184,1.5286,0.87828,0.95783,0.3754,0.54786,0.49853,0.44935,2.3387,0.84609,0.000254852,0.000254852,0.000254852
3,89.5037,0.47062,0.83655,0.86688,0.95969,0.49191,0.59197,0.54172,0.43886,2.30087,0.8618,0.00038416,0.00038416,0.00038416
4,119.216,0.40899,0.71592,0.87904,0.95973,0.49244,0.56677,0.51294,0.47021,2.36245,0.85952,0.000507924,0.000507924,0.000507924
5,156.251,0.46659,0.70952,0.87787,0.89912,0.53306,0.76192,0.68259,0.50037,1.65125,0.84634,0.000626144,0.000626144,0.000626144
6,187.257,0.46073,0.65659,0.87676,0.95772,0.56163,0.78767,0.68132,0.57299,1.38425,0.86853,0.00073882,0.00073882,0.00073882
7,224.352,0.44043,0.63713,0.86445,0.94035,0.55372,0.80524,0.72559,0.46308,1.30065,0.85857,0.000845952,0.000845952,0.000845952
8,262.027,0.46353,0.65166,0.87323,0.82682,0.83058,0.8938,0.79525,0.47608,1.1986,0.88798,0.00094754,0.00094754,0.00094754
9,295.69,0.4454,0.5943,0.86916,0.9306,0.94628,0.964,0.85379,0.48298,0.94229,0.86383,0.00104358,0.00104358,0.00104358
10,332.784,0.45882,0.58816,0.86332,0.89817,0.97107,0.95696,0.86579,0.42615,0.89768,0.83799,0.00113408,0.00113408,0.00113408
11,369.478,0.43896,0.5593,0.85619,0.95021,0.98347,0.96773,0.8466,0.48191,0.88314,0.84191,0.00121904,0.00121904,0.00121904
12,400.292,0.43867,0.54127,0.85424,0.85962,0.83504,0.92216,0.82037,0.50171,1.05988,0.85649,0.00129845,0.00129845,0.00129845
13,438.543,0.4376,0.56202,0.86341,0.8289,0.85537,0.91282,0.81653,0.48364,1.01734,0.85445,0.00137232,0.00137232,0.00137232
14,470.39,0.42293,0.53145,0.85547,0.93016,0.93562,0.9467,0.85805,0.45745,0.88203,0.85539,0.00144064,0.00144064,0.00144064
15,508.05,0.42458,0.51765,0.85937,0.97461,0.95184,0.95683,0.86193,0.48132,0.74827,0.8568,0.0014456,0.0014456,0.0014456
16,544.589,0.43988,0.51716,0.8599,0.9788,0.95409,0.96046,0.82029,0.57039,0.75897,0.87019,0.001406,0.001406,0.001406
17,582.386,0.36821,0.48393,0.84979,0.97044,0.94973,0.96281,0.86371,0.45255,0.77958,0.84939,0.0013664,0.0013664,0.0013664
18,619.378,0.39851,0.49323,0.84484,0.98513,0.90909,0.97021,0.86302,0.49249,0.81014,0.8571,0.0013268,0.0013268,0.0013268
19,657.066,0.37511,0.45951,0.84811,0.97429,0.97934,0.98795,0.92059,0.39205,0.63954,0.82538,0.0012872,0.0012872,0.0012872
20,694.444,0.38974,0.48788,0.84621,0.96274,0.96106,0.98605,0.90753,0.40496,0.63745,0.82339,0.0012476,0.0012476,0.0012476
21,731.283,0.36391,0.4579,0.84202,0.98588,0.90909,0.97689,0.90149,0.39233,0.6489,0.82423,0.001208,0.001208,0.001208
22,769.495,0.38957,0.47467,0.86234,0.97913,0.96952,0.97522,0.91712,0.36273,0.54682,0.81946,0.0011684,0.0011684,0.0011684
23,805.728,0.37245,0.45665,0.84448,0.97949,0.99174,0.97786,0.88786,0.39359,0.49786,0.8262,0.0011288,0.0011288,0.0011288
24,842.496,0.35173,0.43486,0.85011,0.97363,0.97107,0.97993,0.90355,0.37766,0.50193,0.81757,0.0010892,0.0010892,0.0010892
25,876.964,0.32083,0.41362,0.83192,0.97898,0.96227,0.97613,0.90441,0.37116,0.52357,0.8186,0.0010496,0.0010496,0.0010496
26,904.448,0.41139,0.43835,0.84813,0.97879,0.96281,0.96755,0.90723,0.36764,0.52518,0.82156,0.00101,0.00101,0.00101
27,943.053,0.39559,0.44919,0.83371,0.97839,0.95868,0.9627,0.89686,0.39286,0.52331,0.82832,0.0009704,0.0009704,0.0009704
28,980.491,0.33926,0.41265,0.84898,0.9783,0.95455,0.9526,0.87908,0.4098,0.54939,0.83634,0.0009308,0.0009308,0.0009308
29,1017.08,0.37049,0.42271,0.84573,0.97877,0.95868,0.96741,0.90024,0.38917,0.5317,0.83274,0.0008912,0.0008912,0.0008912
30,1045.55,0.34437,0.40916,0.84175,0.9752,0.97498,0.97633,0.90679,0.3988,0.50757,0.83268,0.0008516,0.0008516,0.0008516
